Total Number of Peeps,Number of Rolls,Infection Total,Death Total,Death Homebody Peeps,Death Semihomie Peeps,Death Outgoer Peeps,Percentage of Homebody Peeps Dead,Percentage of Semihomie Peeps Dead,Percentage of Outgoer Peeps Dead,Percentage of Homebody Peeps Alive,Percentage of Semihomie Peeps Alive,Percentage of Outgoer Peeps Alive
3000.00,1000.00,514.00,25.00,7.00,8.00,10.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,478.00,26.00,3.00,8.00,15.00,0.00,0.01,0.01,1.00,0.99,0.98
3000.00,1000.00,493.00,32.00,7.00,13.00,12.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,581.00,38.00,10.00,13.00,15.00,0.01,0.01,0.01,0.99,0.99,0.98
3000.00,1000.00,554.00,40.00,6.00,14.00,20.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,545.00,43.00,7.00,19.00,17.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,581.00,35.00,4.00,11.00,20.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,593.00,39.00,5.00,12.00,22.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,505.00,37.00,4.00,15.00,18.00,0.00,0.01,0.02,1.00,0.98,0.98
3000.00,1000.00,487.00,27.00,8.00,9.00,10.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,449.00,30.00,4.00,11.00,15.00,0.00,0.01,0.01,1.00,0.99,0.98
3000.00,1000.00,573.00,32.00,2.00,19.00,11.00,0.00,0.02,0.01,1.00,0.98,0.99
3000.00,1000.00,599.00,44.00,9.00,11.00,24.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,519.00,39.00,2.00,17.00,20.00,0.00,0.02,0.02,1.00,0.98,0.98
3000.00,1000.00,551.00,36.00,8.00,17.00,11.00,0.01,0.02,0.01,0.99,0.98,0.99
3000.00,1000.00,407.00,30.00,3.00,9.00,18.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,573.00,31.00,6.00,10.00,15.00,0.01,0.01,0.01,0.99,0.99,0.98
3000.00,1000.00,544.00,29.00,6.00,13.00,10.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,616.00,49.00,3.00,21.00,25.00,0.00,0.02,0.03,1.00,0.98,0.97
3000.00,1000.00,746.00,36.00,5.00,11.00,20.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,522.00,38.00,3.00,14.00,21.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,663.00,41.00,5.00,21.00,15.00,0.01,0.02,0.01,0.99,0.98,0.98
3000.00,1000.00,419.00,23.00,6.00,9.00,8.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,484.00,26.00,2.00,13.00,11.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,577.00,37.00,3.00,18.00,16.00,0.00,0.02,0.02,1.00,0.98,0.98
3000.00,1000.00,552.00,39.00,7.00,12.00,20.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,626.00,40.00,3.00,14.00,23.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,470.00,31.00,4.00,16.00,11.00,0.00,0.02,0.01,1.00,0.98,0.99
3000.00,1000.00,409.00,26.00,6.00,6.00,14.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,369.00,24.00,8.00,9.00,7.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,624.00,47.00,9.00,15.00,23.00,0.01,0.01,0.02,0.99,0.98,0.98
3000.00,1000.00,689.00,42.00,3.00,20.00,19.00,0.00,0.02,0.02,1.00,0.98,0.98
3000.00,1000.00,549.00,24.00,10.00,9.00,5.00,0.01,0.01,0.01,0.99,0.99,0.99
3000.00,1000.00,624.00,43.00,8.00,14.00,21.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,372.00,26.00,3.00,11.00,12.00,0.00,0.01,0.01,1.00,0.99,0.99
3000.00,1000.00,589.00,42.00,7.00,16.00,19.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,603.00,45.00,6.00,18.00,21.00,0.01,0.02,0.02,0.99,0.98,0.98
3000.00,1000.00,664.00,32.00,4.00,12.00,16.00,0.00,0.01,0.02,1.00,0.99,0.98
3000.00,1000.00,564.00,43.00,8.00,11.00,24.00,0.01,0.01,0.02,0.99,0.99,0.98
3000.00,1000.00,501.00,41.00,7.00,15.00,19.00,0.01,0.01,0.02,0.99,0.98,0.98
3000.00,1000.00,521.00,34.00,7.00,10.00,17.00,0.01,0.01,0.02,0.99,0.99,0.98
