Infection Total,Death Total,Death Homebody Peeps,Death Semihomie Peeps,Death Outgoer Peeps,Percentage of Homebody Peeps Dead,Percentage of Semihomie Peeps Dead,Percentage of Outgoer Peeps Dead,Percentage of Homebody Peeps Alive,Percentage of Semihomie Peeps Alive,Percentage of Outgoer Peeps Alive
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
2.00,2.00,0.00,0.00,2.00,0.00,0.00,0.02,1.00,1.00,0.98
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
116.00,116.00,16.00,22.00,78.00,0.16,0.22,0.78,0.84,0.78,0.22
87.00,87.00,11.00,16.00,60.00,0.11,0.16,0.60,0.89,0.84,0.40
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
63.00,63.00,12.00,17.00,34.00,0.12,0.17,0.34,0.88,0.83,0.66
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
96.00,96.00,7.00,20.00,69.00,0.07,0.20,0.69,0.93,0.80,0.31
83.00,83.00,18.00,17.00,48.00,0.18,0.17,0.48,0.82,0.83,0.52
1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.01,1.00,1.00,0.99
66.00,66.00,0.00,18.00,48.00,0.00,0.18,0.48,1.00,0.82,0.52
131.00,131.00,27.00,25.00,79.00,0.27,0.25,0.79,0.73,0.75,0.21
111.00,111.00,8.00,26.00,77.00,0.08,0.26,0.77,0.92,0.74,0.23
72.00,71.00,2.00,18.00,51.00,0.02,0.18,0.51,0.98,0.82,0.49
33.00,33.00,3.00,8.00,22.00,0.03,0.08,0.22,0.97,0.92,0.78
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
92.00,92.00,4.00,19.00,69.00,0.04,0.19,0.69,0.96,0.81,0.31
1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.01,1.00,1.00,0.99
1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.01,1.00,1.00,0.99
119.00,119.00,11.00,28.00,80.00,0.11,0.28,0.80,0.89,0.72,0.20
30.00,30.00,8.00,10.00,12.00,0.08,0.10,0.12,0.92,0.90,0.88
120.00,100.00,25.00,18.00,57.00,0.25,0.18,0.57,0.75,0.82,0.43
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
31.00,31.00,0.00,6.00,25.00,0.00,0.06,0.25,1.00,0.94,0.75
121.00,121.00,26.00,23.00,72.00,0.26,0.23,0.72,0.74,0.77,0.28
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
111.00,111.00,9.00,22.00,80.00,0.09,0.22,0.80,0.91,0.78,0.20
96.00,96.00,0.00,23.00,73.00,0.00,0.23,0.73,1.00,0.77,0.27
